event_id,event_type,event_subtype,asset_symbol,source,event_time_utc,pre_target_6h_utc,asset_price_pre_6h,asset_price_pre_6h_kline_time_utc,btc_price_pre_6h,btc_price_pre_6h_kline_time_utc,pre_asset_return_6h,pre_btc_return_6h,pre_event_abnormal_6h,post_event_abnormal_24h,price_in_ratio,price_in_flag,title
cand_00207,institutional_flow,etf_or_fund_flow,LINK,webhook,2026-05-21T07:15:43Z,2026-05-21T01:15:43Z,9.725,2026-05-21T01:16:00Z,78097.36,2026-05-21T01:16:00Z,-0.009357,-0.00693,-0.002427,0.019396,0.0,none,"Crypto traders are front-running the SpaceX IPO big time 🚀

While Wall Street targets a $1.75T valuation, SpaceX trackin"
cand_01935,staking_governance,staking_or_governance,HYPE,webhook,2026-05-20T00:04:27Z,2026-05-19T18:04:27Z,48.499,2026-05-19T18:05:00Z,76901.54,2026-05-19T18:05:00Z,-0.013856,-0.001106,-0.01275,0.140021,0.0,none,"Anchorage (@Anchorage) linked wallet further withdrew 121,099 $HYPE worth $5.87M from #Bybit.

They have bought 2.34M $H"
cand_01921,staking_governance,staking_or_governance,HYPE,webhook,2026-05-20T00:15:36Z,2026-05-19T18:15:36Z,48.6,2026-05-19T18:16:00Z,76902.22,2026-05-19T18:16:00Z,-0.022737,-0.004312,-0.018425,0.150089,0.0,none,"链上监测：鲸鱼在过去10小时内购买206,325枚HYPE并质押"
cand_01916,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T00:20:58Z,2026-05-19T18:20:58Z,48.582,2026-05-19T18:21:00Z,76928.55,2026-05-19T18:21:00Z,-0.026697,-0.00456,-0.022137,0.155904,0.0,none,"Whale 0xde42 sold 50K $HYPE ($2.41M) over the past 10 hours while also opening a 10x short on 223,404 $HYPE($10.55M).

h"
cand_01883,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T00:58:40Z,2026-05-19T18:58:40Z,48.192,2026-05-19T18:59:00Z,76803.28,2026-05-19T18:59:00Z,-0.011994,-0.000188,-0.011806,0.168782,0.0,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 新开仓!
cand_01877,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T01:04:39Z,2026-05-19T19:04:39Z,48.292,2026-05-19T19:05:00Z,76899.4,2026-05-19T19:05:00Z,-0.015862,-0.001843,-0.014019,0.166404,0.0,none,"Whale Loracle.hl (@loraclexyz) has started opening a $LIT (3x) long position, currently valued at ~$1M and it’s still in"
cand_01844,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T01:42:41Z,2026-05-19T19:42:41Z,48.662,2026-05-19T19:43:00Z,76895.03,2026-05-19T19:43:00Z,-0.028934,-0.003888,-0.025046,0.179194,0.0,none,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈扩大！
cand_01835,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T01:48:40Z,2026-05-19T19:48:40Z,48.71,2026-05-19T19:49:00Z,76851.57,2026-05-19T19:49:00Z,-0.026052,-0.002168,-0.023884,0.176597,0.0,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 滚仓 啦!
cand_01826,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T02:03:39Z,2026-05-19T20:03:39Z,48.384,2026-05-19T20:04:00Z,76834.5,2026-05-19T20:04:00Z,-0.014798,-5.8e-05,-0.01474,0.159375,0.0,none,a16z crypto相关地址成为HYPE第六大持仓实体
cand_01824,staking_governance,staking_or_governance,TRX,news:kucoin_ann,2026-05-20T02:12:02Z,2026-05-19T20:12:02Z,0.3559,2026-05-19T20:13:00Z,76939.49,2026-05-19T20:13:00Z,0.0,-0.002267,0.002267,-0.005549,0.0,none,TRX 固定促銷，享年化收益 8%！
cand_01793,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T02:52:40Z,2026-05-19T20:52:40Z,48.113,2026-05-19T20:53:00Z,77020.03,2026-05-19T20:53:00Z,-0.008667,-0.004496,-0.004171,0.159498,0.0,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 滚仓 啦!
cand_01693,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T05:52:40Z,2026-05-19T23:52:40Z,48.157,2026-05-19T23:53:00Z,76890.03,2026-05-19T23:53:00Z,0.003655,0.004044,-0.00039,0.155999,0.0,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】LIT 多单 滚仓 啦!
cand_01676,network_upgrade,upgrade_or_fork,SOL,news:cryptonews,2026-05-20T06:19:08Z,2026-05-20T00:19:08Z,84.07,2026-05-20T00:20:00Z,76604.72,2026-05-20T00:20:00Z,0.01023,0.009154,0.001075,0.010716,0.091207,none,Galaxy lifts CLARITY Act odds to 75%
cand_01590,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T08:14:44Z,2026-05-20T02:14:44Z,47.633,2026-05-20T02:15:00Z,76814.46,2026-05-20T02:15:00Z,0.019671,0.005993,0.013678,0.195324,0.065444,none,【ZEC最大空头】HYPE 空单 摊平 啦!
cand_01577,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T08:38:41Z,2026-05-20T02:38:41Z,47.7,2026-05-20T02:39:00Z,76660.33,2026-05-20T02:39:00Z,0.022117,0.011997,0.010121,0.198224,0.048577,none,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_01529,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T09:30:06Z,2026-05-20T03:30:06Z,47.778,2026-05-20T03:31:00Z,76775.01,2026-05-20T03:31:00Z,0.023002,0.010011,0.012991,0.20201,0.060425,none,"随着 $HYPE 来到 $49，去年 11 月份以 $38.6 的价格追高开多 138 万枚 $HYPE ($6740 万) 的鲸鱼，目前浮盈 $1400 万了。

好奇这老哥是准备要到啥价位才会平仓，他这个 HYPE 多单已经开了 7 个"
cand_01483,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T10:28:40Z,2026-05-20T04:28:40Z,48.017,2026-05-20T04:29:00Z,76772.83,2026-05-20T04:29:00Z,0.031614,0.011184,0.020429,0.171502,0.106441,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_01425,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T11:38:15Z,2026-05-20T05:38:15Z,48,2026-05-20T05:39:00Z,77290,2026-05-20T05:39:00Z,0.032,0.001808,0.030192,0.151358,0.166302,none,"As $HYPE trades around ~$50

A whale (“0x082”) holding a $HYPE (5x) long position is now sitting on a floating profit of"
cand_01389,staking_governance,staking_or_governance,HYPE,webhook,2026-05-20T12:11:45Z,2026-05-20T06:11:45Z,48.446,2026-05-20T06:12:00Z,77219.78,2026-05-20T06:12:00Z,0.0296,0.003044,0.026556,0.141826,0.157715,none,"Anchorage (@Anchorage) linked wallet further withdrew 44,510 $HYPE worth $2.16M from #Gate.

They have bought 2.385M $HY"
cand_01387,whale_position,whale_wallet_position,HYPE,news:odaily_exchange_gap,2026-05-20T12:12:55Z,2026-05-20T06:12:55Z,48.385,2026-05-20T06:13:00Z,77221.41,2026-05-20T06:13:00Z,0.030051,0.003087,0.026963,0.146765,0.155204,none,Anchorge关联钱包再次从CEX提取44510枚HYPE
cand_01382,stablecoin_flow,stablecoin_supply_or_flow,XRP,news:utoday,2026-05-20T12:17:05Z,2026-05-20T06:17:05Z,1.3684,2026-05-20T06:18:00Z,77274.84,2026-05-20T06:18:00Z,-0.000658,0.002705,-0.003363,0.000592,0.0,none,Ripple's RLUSD Hits New All-Time High in Market Cap - U.Today
cand_01353,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T12:48:42Z,2026-05-20T06:48:42Z,48.493,2026-05-20T06:49:00Z,77385.95,2026-05-20T06:49:00Z,0.032644,0.002462,0.030182,0.158647,0.159837,none,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_01339,stablecoin_flow,stablecoin_supply_or_flow,BNB,news:cryptonewsflash,2026-05-20T13:00:33Z,2026-05-20T07:00:33Z,643.53,2026-05-20T07:01:00Z,77371.24,2026-05-20T07:01:00Z,0.001787,0.002506,-0.000719,0.01159,0.0,none,Fetch.ai Launches Agent Launch for AI Agent Tokens on BNB Chain
cand_01313,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T13:22:40Z,2026-05-20T07:22:40Z,48.515,2026-05-20T07:23:00Z,77460.65,2026-05-20T07:23:00Z,0.04275,0.000294,0.042456,0.1623,0.207349,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_01282,network_upgrade,upgrade_or_fork,SHIB,news:utoday,2026-05-20T13:50:01Z,2026-05-20T07:50:01Z,5.75e-06,2026-05-20T07:51:00Z,77273.26,2026-05-20T07:51:00Z,-0.001739,-0.001201,-0.000538,0.006332,0.0,none,"Shibarium Transactions Surge 44%, but SHIB Isn't Moving - U.Today"
cand_01231,stablecoin_flow,stablecoin_supply_or_flow,LINK,webhook,2026-05-20T14:17:57Z,2026-05-20T08:17:57Z,9.59,2026-05-20T08:18:00Z,77288.93,2026-05-20T08:18:00Z,0.003128,0.002228,0.0009,0.002778,0.244737,none,"Make your own custom stablecoins with Coinbase!

See link in follow on post https://t.co/kUGOkgIVoo"
cand_01144,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T15:18:40Z,2026-05-20T09:18:40Z,48.851,2026-05-20T09:19:00Z,77420.22,2026-05-20T09:19:00Z,0.055065,0.002587,0.052478,0.206605,0.202554,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 浮亏扩大！
cand_01143,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T15:18:43Z,2026-05-20T09:18:43Z,48.851,2026-05-20T09:19:00Z,77420.22,2026-05-20T09:19:00Z,0.055065,0.002587,0.052478,0.206605,0.202554,none,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_01095,exchange_listing,listing_delisting,SOL,news:odaily_exchange_gap,2026-05-20T15:54:23Z,2026-05-20T09:54:23Z,84.94,2026-05-20T09:55:00Z,77502.93,2026-05-20T09:55:00Z,0.012244,0.000153,0.012091,0.009105,0.57044,moderate,Solana链上定制稳定币USDF已上线
cand_00893,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T19:28:40Z,2026-05-20T13:28:40Z,50.557,2026-05-20T13:29:00Z,77303.08,2026-05-20T13:29:00Z,0.043219,0.003359,0.03986,0.093524,0.298837,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00884,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T19:34:49Z,2026-05-20T13:34:49Z,50.639,2026-05-20T13:35:00Z,77103.92,2026-05-20T13:35:00Z,0.03991,0.005971,0.033939,0.099429,0.254479,none,【ZEC最大空头】HYPE 空单 摊平 啦!
cand_00697,staking_governance,staking_or_governance,XRP,news:cryptonews,2026-05-20T21:55:00Z,2026-05-20T15:55:00Z,1.3758,2026-05-20T15:55:00Z,77514.77,2026-05-20T15:55:00Z,-0.00487,0.000946,-0.005816,0.003444,0.0,none,Clarity Act could unlock $2T says Ripple CLO
cand_00666,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T22:18:40Z,2026-05-20T16:18:40Z,51.509,2026-05-20T16:19:00Z,77361.31,2026-05-20T16:19:00Z,0.037392,-0.001494,0.038885,0.079648,0.328053,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00659,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T22:28:41Z,2026-05-20T16:28:41Z,51.38,2026-05-20T16:29:00Z,77088,2026-05-20T16:29:00Z,0.0471,0.004489,0.042612,0.079999,0.347537,none,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_00650,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T22:32:40Z,2026-05-20T16:32:40Z,51.414,2026-05-20T16:33:00Z,77127.68,2026-05-20T16:33:00Z,0.047536,0.004203,0.043333,0.077143,0.359682,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00591,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T23:36:49Z,2026-05-20T17:36:49Z,52.117,2026-05-20T17:37:00Z,77602.5,2026-05-20T17:37:00Z,0.042309,-0.001786,0.044095,0.083403,0.34585,none,"As $HYPE trades around ~$50,

A whale (“0x082”) holding a $HYPE (5x) long position is now sitting on a floating profit o"
cand_00590,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-20T23:38:40Z,2026-05-20T17:38:40Z,52.176,2026-05-20T17:39:00Z,77616.61,2026-05-20T17:39:00Z,0.047397,-0.001946,0.049344,0.074131,0.399624,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00587,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T23:40:02Z,2026-05-20T17:40:02Z,52.143,2026-05-20T17:41:00Z,77589.3,2026-05-20T17:41:00Z,0.046142,-0.001512,0.047655,0.07495,0.388684,none,"As $HYPE trades around ~$54,

A whale (“0x082”) holding a $HYPE (5x) long position is now sitting on a floating profit o"
cand_00575,whale_position,whale_wallet_position,HYPE,webhook,2026-05-20T23:57:04Z,2026-05-20T17:57:04Z,51.956,2026-05-20T17:58:00Z,77568.95,2026-05-20T17:58:00Z,0.053642,-0.000447,0.054089,0.071577,0.430417,none,"HYPE 已经 $54 了，看来是有望突破去年 9 月份创造的前高 $59，毕竟只差 8 个点了。

◎最大 HYPE 多头的 138 万枚 $HYPE 目前已经浮盈高达 $2160 万。
https://t.co/wqnznUBMo0"
cand_00562,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T00:08:40Z,2026-05-20T18:08:40Z,52.12,2026-05-20T18:09:00Z,77527.48,2026-05-20T18:09:00Z,0.056236,0.001503,0.054732,0.062501,0.466868,none,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00560,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T00:12:43Z,2026-05-20T18:12:43Z,52.152,2026-05-20T18:13:00Z,77484.1,2026-05-20T18:13:00Z,0.060304,0.002487,0.057818,0.054633,0.514162,moderate,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_00558,whale_position,whale_wallet_position,HYPE,webhook,2026-05-21T00:13:54Z,2026-05-20T18:13:54Z,52.158,2026-05-20T18:14:00Z,77480.44,2026-05-20T18:14:00Z,0.062023,0.002382,0.059642,0.052961,0.529664,moderate,"As $ZEC is pumping

Whale “0xd63” closed most of the position, taking a loss of over $3.27M, and is still holding the re"
cand_00534,staking_governance,staking_or_governance,XRP,news:cryptonews,2026-05-21T00:30:00Z,2026-05-20T18:30:00Z,1.3723,2026-05-20T18:30:00Z,77512.24,2026-05-20T18:30:00Z,-0.00051,0.002709,-0.003219,0.001437,0.0,none,Clarity Act floor vote could come by August says Lummis
cand_00530,staking_governance,staking_or_governance,HYPE,webhook,2026-05-21T00:31:47Z,2026-05-20T18:31:47Z,51.778,2026-05-20T18:32:00Z,77497.1,2026-05-20T18:32:00Z,0.070628,0.002902,0.067726,0.044469,0.603649,moderate,"Anchorage (@Anchorage) linked wallet further withdrew 142,308 $HYPE worth $7.38M from #Gate and #OKX.

They have bought"
cand_00521,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T00:38:40Z,2026-05-20T18:38:40Z,51.606,2026-05-20T18:39:00Z,77541.57,2026-05-20T18:39:00Z,0.091927,0.002514,0.089413,0.020625,0.812569,severe,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00517,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T00:42:40Z,2026-05-20T18:42:40Z,51.565,2026-05-20T18:43:00Z,77486.57,2026-05-20T18:43:00Z,0.083952,0.003093,0.08086,0.031128,0.72204,severe,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00477,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T01:22:40Z,2026-05-20T19:22:40Z,52.375,2026-05-20T19:23:00Z,77517.73,2026-05-20T19:23:00Z,0.088153,0.005401,0.082751,0.006037,0.932008,severe,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00476,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T01:22:42Z,2026-05-20T19:22:42Z,52.375,2026-05-20T19:23:00Z,77517.73,2026-05-20T19:23:00Z,0.088153,0.005401,0.082751,0.006037,0.932008,severe,【疑似HYPE上币内幕「 HYPE 多仓 TOP 1」】HYPE 多单 浮盈收窄！
cand_00432,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T02:18:40Z,2026-05-20T20:18:40Z,52.38,2026-05-20T20:19:00Z,77671.92,2026-05-20T20:19:00Z,0.064815,0.004018,0.060797,0.040298,0.601383,moderate,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00408,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T02:43:33Z,2026-05-20T20:43:33Z,52.025,2026-05-20T20:44:00Z,77691.17,2026-05-20T20:44:00Z,0.075156,0.004385,0.070771,0.039909,0.63942,moderate,「交易员Loracle」逆势加码26.8万枚HYPE空单，浮亏扩大至2010万
cand_00375,staking_governance,staking_or_governance,XRP,news:cryptonews,2026-05-21T03:27:41Z,2026-05-20T21:27:41Z,1.3687,2026-05-20T21:28:00Z,77637.51,2026-05-20T21:28:00Z,0.010302,0.005119,0.005183,-0.004475,0.0,none,GSX settles $350m on-chain as $125m liquidity waits
cand_00353,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T03:58:40Z,2026-05-20T21:58:40Z,52.88,2026-05-20T21:59:00Z,77500.01,2026-05-20T21:59:00Z,0.073203,0.007467,0.065736,0.017447,0.790258,severe,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 浮亏扩大！
cand_00250,staking_governance,staking_or_governance,HYPE,webhook,2026-05-21T06:20:46Z,2026-05-21T00:20:46Z,55.316,2026-05-21T00:21:00Z,77645.11,2026-05-21T00:21:00Z,0.024586,0.002291,0.022295,0.030662,0.421008,none,"This address 0x85C just withdrew $5.72M HYPE from Bitget and staked it.

They have now staked $15.33M of HYPE.

0x85C is"
cand_00208,network_upgrade,upgrade_or_fork,HYPE,news:coinpedia,2026-05-21T07:14:46Z,2026-05-21T01:14:46Z,56.75,2026-05-21T01:15:00Z,78159.7,2026-05-21T01:15:00Z,0.007789,-0.007114,0.014903,0.00149,0.909133,severe,Pi Price Rally Soon? Pi Network Breaks Into US Market Through OKX Integration
cand_00194,whale_position,whale_wallet_position,SOL,tg:HyperInsight,2026-05-21T07:32:41Z,2026-05-21T01:32:41Z,86.53,2026-05-21T01:33:00Z,77862.69,2026-05-21T01:33:00Z,0.000231,-0.002972,0.003203,0.007644,0.295273,none,【Abraxas Capital主地址】SOL 空单 新开仓!
cand_00191,whale_position,whale_wallet_position,LINK,tg:HyperInsight,2026-05-21T07:32:57Z,2026-05-21T01:32:57Z,9.695,2026-05-21T01:33:00Z,77862.69,2026-05-21T01:33:00Z,-0.004435,-0.002972,-0.001464,0.019699,0.0,none,【重仓布局三大市场】LINK 空单 平仓止盈!
cand_00190,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T07:32:59Z,2026-05-21T01:32:59Z,56.286,2026-05-21T01:33:00Z,77862.69,2026-05-21T01:33:00Z,0.020183,-0.002972,0.023154,0.004247,0.845022,severe,【重仓布局三大市场】HYPE 多单 平仓止盈!
cand_00189,whale_position,whale_wallet_position,XRP,tg:HyperInsight,2026-05-21T07:33:02Z,2026-05-21T01:33:02Z,1.3774,2026-05-21T01:34:00Z,77882.12,2026-05-21T01:34:00Z,-0.003194,-0.002904,-0.00029,-0.002777,0.094561,none,【重仓布局三大市场】XRP 空单 平仓止盈!
cand_00186,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T07:38:40Z,2026-05-21T01:38:40Z,56.248,2026-05-21T01:39:00Z,77834.01,2026-05-21T01:39:00Z,0.024694,-0.001979,0.026673,0.003157,0.894162,severe,【知名交易员Loracle「 HYPE 空仓 TOP 1」】HYPE 空单 摊平 啦!
cand_00181,whale_position,whale_wallet_position,HYPE,tg:HyperInsight,2026-05-21T07:38:55Z,2026-05-21T01:38:55Z,56.248,2026-05-21T01:39:00Z,77834.01,2026-05-21T01:39:00Z,0.024694,-0.001979,0.026673,0.003157,0.894162,severe,【重仓布局三大市场】HYPE 多单 新开仓!
cand_00178,whale_position,whale_wallet_position,HYPE,webhook,2026-05-21T07:41:29Z,2026-05-21T01:41:29Z,56.436,2026-05-21T01:42:00Z,77924.43,2026-05-21T01:42:00Z,0.025888,-0.002777,0.028665,-0.002054,0.0,none,"As $HYPE continues to rise, a whale (0x842) increased its 5x short position to 353,832 $HYPE valued at $20M, with a floa"
