source,url,status,content_type,bytes,json_summary,snippet
api_probe,https://api.coinmarketcap.com/data-api/v3/unified-trending/listing,200,application/json;charset=UTF-8,163,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:41.752Z"",""error_code"":""500"",""error_message"":""The system is busy, please try again later!"",""elapsed"":""0"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/unified-trending/top-boost/listing,200,application/json,1885,"dict_keys=data,status","{""data"":{""list"":[{""unifiedTokenId"":""40057"",""type"":""listing"",""cryptoId"":40057,""slug"":""solana-fork-staccana"",""tokenSymbol"":""STACCANA"",""tokenName"":""Solana Fork Staccana"",""priceUsd"":""0.000430392752601386000000"",""volume24h"":""90967.78936152"",""pricePercentageChange24h"":""44.35864911"",""marketCap"":""0.00"",""selfReportedMarketCap"":""429909.145228067473432188""},{""unifiedTokenId"":""39841"",""type"":""listing"",""cryptoId"":39841,""slug"":""gen"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/info/batch-query-by-ids,200,application/json,135,"dict_keys=data,status","{""data"":[],""status"":{""timestamp"":""2026-05-28T06:29:43.133Z"",""error_code"":""0"",""error_message"":""SUCCESS"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/listing,200,application/json,143406,"dict_keys=data,status","{""data"":{""cryptoCurrencyList"":[{""id"":38442,""name"":""CoinMarketCap 20 Index DTF"",""symbol"":""CMC20"",""slug"":""coinmarketcap-20-index"",""tags"":[""defi"",""defi-index"",""bnb-chain-ecosystem"",""base-ecosystem"",""rehypothecated-crypto""],""marketPairCount"":21,""circulatingSupply"":101051.34424888,""selfReportedCirculatingSupply"":5000000.00,""totalSupply"":101051.34424888,""isActive"":1,""lastUpdated"":""2026-05-28T06:26:00.000Z"",""dateAdded"":""202"
api_probe,https://api.coinmarketcap.com/data-api/v3/business/switch/get,405,application/json,179,"dict_keys=timestamp,path,status,error,message,requestId","{""timestamp"":1779949784412,""path"":""/v3/business/switch/get"",""status"":405,""error"":""Method Not Allowed"",""message"":""Request method 'GET' not supported"",""requestId"":""5e7a82ec-210631""}"
api_probe,https://api.coinmarketcap.com/data-api/v3/captcha/type,200,application/json,2114,"dict_keys=data,status","{""data"":[{""rewriteService"":""aggr2"",""service"":""auth"",""path"":""/v4/user/login"",""rewritePath"":""/v4/user/login"",""platform"":""web,ios,android,api,ios_web,android_web"",""validType"":""none"",""bizId"":""CMC_login""},{""rewriteService"":""aggr2"",""service"":""auth"",""path"":""/v4/user/signUp"",""rewritePath"":""/v4/user/signUp"",""platform"":""web,ios,android,api,ios_web,android_web"",""validType"":""none"",""bizId"":""CMC_register""},{""service"":""auth"",""path"""
api_probe,https://api.coinmarketcap.com/data-api/v3/chain/block,200,application/json,135,"dict_keys=data,status","{""data"":{},""status"":{""timestamp"":""2026-05-28T06:29:45.861Z"",""error_code"":""0"",""error_message"":""SUCCESS"",""elapsed"":""0"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/detail,200,application/json,148,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:46.492Z"",""error_code"":""400"",""error_message"":""Id or slug must be provided."",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/detail/holders/count,200,application/json,163,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:47.089Z"",""error_code"":""500"",""error_message"":""The system is busy, please try again later!"",""elapsed"":""2"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/detail/holders/ratio,200,application/json,163,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:47.682Z"",""error_code"":""500"",""error_message"":""The system is busy, please try again later!"",""elapsed"":""3"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/listings/historical,200,application/json,177,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:48.367Z"",""error_code"":""400"",""error_message"":""\""date\"" must be a valid ISO 8601 date or unix time value"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/market-pairs/latest,200,application/json,185,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:48.965Z"",""error_code"":""400"",""error_message"":""\""value\"" must contain at least one of [id, rwaId, slug, rwaSlug]"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/quote-by-timestamp,200,application/json,163,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:49.583Z"",""error_code"":""500"",""error_message"":""The system is busy, please try again later!"",""elapsed"":""3"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/quote/latest,200,application/json,169,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:50.167Z"",""error_code"":""400"",""error_message"":""\""value\"" must contain at least one of [id, slug]"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/quotes/historical,200,application/json,154,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:50.737Z"",""error_code"":""400"",""error_message"":""time start or time end can`t miss"",""elapsed"":""0"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/spotlight,200,application/json,22030,"dict_keys=data,status","{""data"":{""trendingList"":[{""id"":512,""dataType"":2,""name"":""Stellar"",""symbol"":""XLM"",""slug"":""stellar"",""rank"":18,""status"":""active"",""marketCap"":5654515432.45,""selfReportedMarketCap"":5313197225.09575747814784480000000000,""priceChange"":{""price"":0.168504911480087280000000,""priceChange24h"":14.53171269,""priceChange7d"":15.69555599,""priceChange30d"":2.18399624,""volume24h"":836118168.93177044,""lastUpdate"":""2026-05-28T06:29:00.000Z""},"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/vote,200,application/json,140,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:53.289Z"",""error_code"":""400"",""error_message"":""id must not be empty"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/exchange/detail,200,application/json,168,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:53.913Z"",""error_code"":""400"",""error_message"":""\""value\"" must contain at least one of [slug/id]"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/exchange/platform/info,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/farming/yield/latest,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/global-metrics/quotes/historical,200,application/json,163,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:55.771Z"",""error_code"":""500"",""error_message"":""The system is busy, please try again later!"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/global-metrics/quotes/latest,200,application/json,2728,"dict_keys=data,status","{""data"":{""btcDominance"":59.65627416198700,""ethDominance"":9.74707587267200,""activeCryptoCurrencies"":8279,""totalCryptoCurrencies"":37584,""activeMarketPairs"":113663,""activeExchanges"":947,""totalExchanges"":12203,""ethDominanceYesterday"":9.87655566,""btcDominanceYesterday"":59.79290448,""ethDominance24hPercentageChange"":-0.12947978732800,""btcDominance24hPercentageChange"":-0.13663031801300,""defiVolume24h"":12216910161.70625450000"
api_probe,https://api.coinmarketcap.com/data-api/v3/page/faq,200,application/json,147,"dict_keys=data,status","{""data"":{""faqList"":[]},""status"":{""timestamp"":""2026-05-28T06:29:56.813Z"",""error_code"":""0"",""error_message"":""SUCCESS"",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/sector/m/detail,200,application/json,178,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:57.402Z"",""error_code"":""400"",""error_message"":""sectorId is necessary.Please pass in the correct sectorId."",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/sector/w/detail/tag,200,application/json,120,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:29:57.979Z"",""error_code"":""400"",""error_message"":"""",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/topsearch/rank,200,application/json,4235,"dict_keys=data,status","{""data"":{""exchangeTopSearchRanks"":[],""cryptoTopSearchRanks"":[{""id"":512,""dataType"":2,""name"":""Stellar"",""symbol"":""XLM"",""slug"":""stellar"",""rank"":18,""status"":""active"",""marketCap"":5635465527.94,""selfReportedMarketCap"":5295297212.08560673360550840000000000,""priceChange"":{""price"":0.167937223141035740000000,""priceChange24h"":14.17683505,""priceChange7d"":15.30212285,""priceChange30d"":1.83755379,""volume24h"":834242197.65667534,""last"
api_probe,https://api.coinmarketcap.com/data-api/v3/exchange/assets,200,application/json,135,"dict_keys=data,status","{""data"":{},""status"":{""timestamp"":""2026-05-28T06:29:59.125Z"",""error_code"":""0"",""error_message"":""SUCCESS"",""elapsed"":""0"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/exchange/por/audit,200,application/json,159,"dict_keys=data,status","{""data"":{""porAudits"":[],""count"":0},""status"":{""timestamp"":""2026-05-28T06:29:59.715Z"",""error_code"":""0"",""error_message"":""SUCCESS"",""elapsed"":""3"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/exchange/reserves/source,200,application/json,156,"dict_keys=data,status","{""data"":{""reserveSources"":[]},""status"":{""timestamp"":""2026-05-28T06:30:00.400Z"",""error_code"":""0"",""error_message"":""SUCCESS"",""elapsed"":""111"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/exchange/reserves/wallets,200,application/json,154,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:30:02.089Z"",""error_code"":""400"",""error_message"":""Invalid value for \""{0}\"": \""{1}\"""",""elapsed"":""1"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/tools/price-conversion,200,application/json;charset=UTF-8,163,dict_keys=status,"{""status"":{""timestamp"":""2026-05-28T06:30:02.730Z"",""error_code"":""500"",""error_message"":""The system is busy, please try again later!"",""elapsed"":""0"",""credit_count"":0}}"
api_probe,https://api.coinmarketcap.com/data-api/v3/token-unlock/listing,200,application/json,131531,"dict_keys=data,status","{""data"":{""tokenUnlockList"":[{""cryptoId"":22974,""symbol"":""TAO"",""slug"":""bittensor"",""name"":""Bittensor"",""isActive"":1,""cmcRank"":32,""selfReportedCirculatingSupply"":0,""totalSupply"":21000000.00000000,""circulatingSupply"":10949200.53808191,""maxSupply"":21000000.00000000,""totalUnlockedPercentage"":51.0400,""tokenUnlockedAmount"":10718750,""tokenLockedAmount"":9953125.0,""tokenUntrackedAmount"":328125.00000000,""nextUnlocked"":{""tokenAmoun"
