entity_id,entity_type,canonical_symbol,canonical_name,aliases,market_scope,notes
org_nobitex,exchange,,Nobitex,Nobitex,asset_related,
project_morpho,project,,Morpho,Morpho,asset_related,
project_tempo,project,,Tempo,Tempo,asset_related,
project_monad,project,,Monad,Monad,asset_related,
project_echo,project,,Echo Protocol,EchoProtocol|Echo Protocol,asset_related,
actor_machi,actor,,Machi Big Brother,Machi|Machi Big Brother|麻吉黄立成,asset_related,
product_bitlicense,regulator,,BitLicense,BitLicense,market_wide,
entity_crypto_card,product,,Crypto Card,crypto card|加密卡|实体加密卡,asset_related,
project_curvance,project,,Curvance,Curvance|curvance,asset_related,DeFi lending protocol on Monad; involved in Echo Protocol exploit
asset_rune,asset,RUNE,THORChain,RUNE|THORChain|Thorchain|ThorChain,single_asset,Cross-chain liquidity protocol; frequently targeted in hacks
project_polymarket,project,,Polymarket,Polymarket|polymarket,asset_related,Crypto-native prediction market platform
actor_tornado,actor,,Tornado Cash,Tornado Cash|TornadoCash|tornado cash,asset_related,On-chain mixer commonly used in hack fund laundering
project_base,project,,Base,Base L2|Coinbase L2|on Base|base chain,asset_related,Coinbase Layer 2 network; distinguish from price base/support
org_kevin_warsh,macro,,Kevin Warsh,Kevin Warsh|Warsh,market_wide,Incoming Federal Reserve Chair; publicly pro-Bitcoin
actor_zachxbt,actor,,ZachXBT,ZachXBT|zachxbt|zach xbt,asset_related,On-chain investigator known for hack/manipulation reports
org_citi,org,,Citigroup,Citi|Citigroup|Citi Research|Citi analyst,market_wide,Institutional bank publishing crypto research reports
source_santiment,data_source,,Santiment,Santiment,asset_related,
source_glassnode,data_source,,Glassnode,Glassnode,asset_related,
source_lookonchain,data_source,,Lookonchain,Lookonchain,asset_related,
source_arkham,data_source,,Arkham,Arkham,asset_related,
source_nansen,data_source,,Nansen,Nansen,asset_related,
source_peckshield,data_source,,PeckShield,PeckShield,asset_related,
source_defillama,data_source,,DefiLlama,DefiLlama|Defillama,asset_related,
source_messari,data_source,,Messari,Messari,asset_related,
